campaign_id,channel,start_date,duration_weeks,audience_size,has_holdout_test,holdout_size,measured_organic_rate
1,paid_search_brand,2026-01-02,10,26250,False,0,
2,paid_social,2025-11-21,5,8749,True,874,0.0011441647597254005
3,influencer,2025-12-19,9,8756,False,0,
4,paid_social,2026-04-24,6,23662,False,0,
5,paid_search_brand,2026-02-13,8,6379,False,0,
6,paid_social,2026-02-27,5,6255,False,0,
7,display_retargeting,2026-05-22,3,7415,False,0,
8,influencer,2025-11-07,4,5496,True,549,0.0
9,paid_search_nonbrand,2026-08-28,2,16900,True,1690,0.004142011834319527
10,paid_social,2025-10-24,12,1326,True,132,0.0
11,display_retargeting,2026-06-05,7,7848,True,784,0.011479591836734694
12,display_retargeting,2026-03-20,3,3159,False,0,
13,out_of_home,2025-11-07,10,9373,True,937,0.0
14,paid_search_nonbrand,2025-11-21,7,11268,False,0,
15,display_retargeting,2026-01-16,9,9844,False,0,
16,paid_search_nonbrand,2026-02-20,10,24379,False,0,
17,paid_search_brand,2026-05-08,5,11572,False,0,
18,paid_search_nonbrand,2026-07-17,2,4218,False,0,
19,paid_search_brand,2025-09-19,6,5267,False,0,
20,paid_search_brand,2025-11-14,6,84746,True,8474,0.013924946896388955
21,paid_search_nonbrand,2026-04-24,3,18894,False,0,
22,out_of_home,2026-06-05,2,5612,False,0,
23,paid_search_brand,2026-05-15,2,5263,False,0,
24,paid_search_brand,2025-09-26,4,4788,True,478,0.0041841004184100415
25,paid_search_nonbrand,2026-02-13,12,84447,False,0,
26,paid_social,2025-11-28,4,4360,True,436,0.0022935779816513763
27,paid_social,2026-07-31,7,1205,True,120,0.008333333333333333
28,influencer,2026-05-22,5,28224,False,0,
29,paid_search_brand,2026-03-20,4,34352,True,3435,0.01339155749636099
30,paid_search_brand,2025-10-10,2,7988,False,0,
31,out_of_home,2026-04-17,2,16162,False,0,
32,paid_search_brand,2026-08-14,8,45866,False,0,
33,paid_social,2025-12-12,12,43622,False,0,
34,paid_social,2026-06-05,9,15289,False,0,
35,paid_social,2025-11-28,9,25101,False,0,
36,paid_social,2025-11-28,9,24862,True,2486,0.002413515687851971
37,influencer,2025-10-31,3,53029,True,5302,0.001131648434552999
38,out_of_home,2026-05-29,5,29676,False,0,
39,out_of_home,2025-11-14,6,6547,True,654,0.0
40,paid_social,2026-01-02,3,53277,False,0,
41,paid_search_brand,2026-01-02,4,9366,False,0,
42,paid_search_brand,2026-02-20,12,3510,False,0,
43,influencer,2026-07-17,11,3418,False,0,
44,influencer,2026-05-08,8,15728,True,1572,0.001272264631043257
45,paid_social,2026-02-20,7,2722,False,0,
46,paid_search_nonbrand,2026-03-13,4,20928,False,0,
47,influencer,2026-01-09,8,81461,False,0,
48,out_of_home,2025-09-05,5,18236,False,0,
49,paid_search_nonbrand,2026-06-26,5,10983,True,1098,0.0018214936247723133
50,influencer,2025-11-21,3,35457,False,0,
51,influencer,2026-05-01,4,2741,False,0,
52,influencer,2026-08-21,12,3461,False,0,
53,out_of_home,2026-04-03,9,30429,False,0,
54,paid_social,2026-03-06,7,36591,False,0,
55,influencer,2025-12-12,4,13274,False,0,
56,paid_search_nonbrand,2026-06-12,2,13759,False,0,
57,influencer,2026-04-17,6,33580,True,3358,0.0023823704586063135
58,paid_search_brand,2026-04-03,3,8911,True,891,0.016835016835016835
59,display_retargeting,2026-02-27,8,3570,False,0,
60,paid_search_brand,2026-03-06,9,10469,True,1046,0.011472275334608031
61,out_of_home,2026-02-20,8,3773,False,0,
62,paid_search_brand,2025-12-26,9,32758,False,0,
63,paid_social,2025-09-12,6,5863,True,586,0.0034129692832764505
64,paid_social,2026-08-14,11,30337,False,0,
65,paid_social,2025-12-12,3,43090,True,4309,0.0009282896263634254
66,paid_search_brand,2026-07-31,6,5420,True,542,0.007380073800738007
67,paid_search_brand,2026-03-20,3,13528,False,0,
68,display_retargeting,2026-06-19,5,5221,True,522,0.005747126436781609
69,paid_social,2026-08-28,6,20534,False,0,
70,paid_search_nonbrand,2025-10-24,12,6802,True,680,0.004411764705882353
71,out_of_home,2026-04-10,4,51628,False,0,
72,paid_search_nonbrand,2026-07-17,10,10780,False,0,
73,influencer,2025-10-31,6,2502,True,250,0.0
74,out_of_home,2025-09-26,8,6343,False,0,
75,paid_search_nonbrand,2026-08-28,7,46164,True,4616,0.0025996533795493936
76,paid_social,2025-09-26,3,11021,True,1102,0.0
77,out_of_home,2026-02-20,9,12823,False,0,
78,paid_social,2025-12-12,9,12354,True,1235,0.0032388663967611335
79,paid_social,2026-06-26,11,39604,False,0,
80,paid_search_brand,2026-06-26,10,2749,False,0,
81,display_retargeting,2026-05-22,3,33442,True,3344,0.009270334928229665
82,paid_search_nonbrand,2026-03-13,2,8203,True,820,0.0024390243902439024
83,display_retargeting,2025-11-28,6,7369,True,736,0.012228260869565218
84,paid_search_nonbrand,2026-06-05,6,8000,False,0,
85,paid_social,2026-03-06,12,11486,False,0,
86,paid_social,2026-06-26,12,8239,False,0,
87,paid_search_brand,2026-07-17,12,83138,False,0,
88,influencer,2025-09-19,12,3935,False,0,
89,paid_social,2026-03-06,4,16424,False,0,
90,paid_search_nonbrand,2026-06-26,11,16508,False,0,
91,paid_search_nonbrand,2026-06-05,5,7477,False,0,
92,paid_social,2025-09-19,5,12037,False,0,
93,paid_social,2025-09-19,10,2541,False,0,
94,paid_social,2025-11-21,11,11387,True,1138,0.0008787346221441124
95,paid_social,2026-08-14,11,7285,False,0,
96,out_of_home,2025-09-05,3,10391,True,1039,0.0009624639076034649
97,paid_social,2026-04-17,6,10570,False,0,
98,display_retargeting,2026-07-03,11,7434,False,0,
99,paid_search_nonbrand,2025-11-21,10,35356,False,0,
100,out_of_home,2025-12-19,8,43317,False,0,
101,paid_search_nonbrand,2026-03-27,4,25479,True,2547,0.0019630938358853552
102,out_of_home,2026-05-08,6,67568,False,0,
103,influencer,2026-06-26,11,82446,False,0,
104,influencer,2025-09-05,3,3925,True,392,0.002551020408163265
105,paid_search_brand,2026-01-02,12,42383,False,0,
106,paid_search_brand,2025-12-26,9,10365,False,0,
107,display_retargeting,2026-03-13,12,3535,False,0,
108,influencer,2026-01-23,5,9764,True,976,0.0030737704918032786
109,display_retargeting,2025-09-05,3,47380,True,4738,0.009075559307724778
110,display_retargeting,2026-05-01,9,5203,False,0,
111,display_retargeting,2025-11-07,5,12765,False,0,
112,out_of_home,2025-11-14,3,16500,True,1650,0.0006060606060606061
113,out_of_home,2026-05-15,12,7177,True,717,0.001394700139470014
114,display_retargeting,2026-04-17,2,29747,False,0,
115,display_retargeting,2026-02-20,5,12490,True,1249,0.008006405124099279
116,out_of_home,2025-12-12,6,21923,False,0,
117,influencer,2026-03-06,5,11021,True,1102,0.0009074410163339383
118,paid_search_brand,2025-09-19,8,10905,False,0,
119,paid_search_nonbrand,2026-06-26,9,46658,False,0,
120,out_of_home,2025-11-28,12,13040,True,1304,0.0
121,display_retargeting,2026-01-23,6,14290,False,0,
122,paid_search_nonbrand,2025-10-10,10,22283,False,0,
123,out_of_home,2026-01-09,4,1840,False,0,
124,influencer,2026-03-20,9,5363,False,0,
125,influencer,2026-07-10,7,18031,False,0,
126,paid_social,2026-08-07,8,21191,False,0,
127,display_retargeting,2026-03-13,3,6810,False,0,
128,display_retargeting,2026-06-12,12,3467,True,346,0.005780346820809248
129,out_of_home,2025-11-28,6,8843,False,0,
130,paid_social,2025-10-03,11,156086,True,15608,0.0017939518195797027
